sample_id,manipulation_type,source_origin,variant_id,calibrated_status,calibrated_risk_level,origin_hint,manipulation_hint,evidence_summary,needs_manual_review,selected_model_evidence,decision_score_baseline,decision_score_r2_product,decision_score_r2_loss,max_chunk_spoof_baseline,baseline_status_baseline,baseline_status_r2_product
ai_001_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2777777777777778,0.1111111111111111,0.1666666666666666,0.99858957529068,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious
ai_001_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.3333333333333333,0.1904761904761904,0.2857142857142857,1.0,partial_fabrication_detected,partial_fabrication_detected
ai_001_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_001_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.7222222222222222,0.0555555555555555,0.0555555555555555,0.9999610185623168,ai_replay_detected,ai_replay_missed
human_001_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,R2 product+loss and baseline all high-risk,True,"r2_product,r2_loss,baseline",0.9230769230769232,0.7692307692307693,0.8461538461538461,0.9999924898147584,clean_human_false_alarm,clean_human_false_alarm
human_001_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.9375,0.625,0.6875,0.999997615814209,partial_fabrication_detected,partial_fabrication_missed
human_001_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_001_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,1.0,1.0,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_002_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2307692307692307,0.0,0.0769230769230769,0.9983579516410828,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed
ai_002_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.2666666666666666,0.0,0.0666666666666666,0.9987232089042664,partial_fabrication_detected,partial_fabrication_detected
ai_002_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_002_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_file_level_missed_but_segment_suspicious,high,ai_processed,ai_replay,baseline segment-suspicious only,False,baseline_segment,0.6,0.0,0.0,0.9941232800483704,ai_replay_file_level_missed_but_segment_suspicious,ai_replay_missed
human_002_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",1.0,0.6363636363636364,0.6363636363636364,0.9999868869781494,clean_human_false_alarm,clean_human_accepted
human_002_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.8461538461538461,0.3076923076923077,0.4615384615384615,0.9999982118606568,partial_fabrication_detected,partial_fabrication_missed
human_002_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_002_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.875,1.0,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_003_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.4,0.2666666666666666,0.2666666666666666,0.9999990463256836,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious
ai_003_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.4705882352941176,0.0588235294117647,0.0588235294117647,0.9999958276748656,partial_fabrication_detected,partial_fabrication_detected
ai_003_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_003_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.7857142857142857,0.0,0.0714285714285714,0.9996155500411988,ai_replay_detected,ai_replay_missed
human_003_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",0.6363636363636364,0.0909090909090909,0.0909090909090909,0.999014973640442,clean_human_accepted,clean_human_accepted
human_003_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.2857142857142857,0.0,0.0,0.9873993396759032,partial_fabrication_detected,partial_fabrication_missed
human_003_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_003_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,1.0,1.0,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_004_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.25,0.125,0.1875,0.9988282322883606,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed
ai_004_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.3333333333333333,0.2222222222222222,0.2777777777777778,1.0,partial_fabrication_detected,partial_fabrication_detected
ai_004_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_004_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.8181818181818182,0.1818181818181818,0.2727272727272727,0.9997757077217102,ai_replay_detected,ai_replay_missed
human_004_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",0.9166666666666666,0.5833333333333334,0.6666666666666666,1.0,clean_human_false_alarm,clean_human_accepted
human_004_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.8461538461538461,0.3846153846153846,0.3846153846153846,1.0,partial_fabrication_detected,partial_fabrication_missed
human_004_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_004_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.4545454545454545,0.4545454545454545,1.0,human_replay_manipulation_detected,human_replay_missed
ai_005_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.999808132648468,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious
ai_005_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.45,0.3,0.35,1.0,partial_fabrication_detected,partial_fabrication_detected
ai_005_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,0.9444444444444444,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_005_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_file_level_missed_but_segment_suspicious,high,ai_processed,ai_replay,baseline segment-suspicious only,False,baseline_segment,0.5714285714285714,0.2142857142857142,0.2142857142857142,0.999966025352478,ai_replay_file_level_missed_but_segment_suspicious,ai_replay_file_level_missed_but_segment_suspicious
human_005_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",1.0,0.5714285714285714,0.7142857142857143,1.0,clean_human_false_alarm,clean_human_accepted
human_005_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.8235294117647058,0.3529411764705882,0.4705882352941176,1.0,partial_fabrication_detected,partial_fabrication_detected
human_005_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_005_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.5,0.5,1.0,human_replay_manipulation_detected,human_replay_missed
ai_006_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.1875,0.0,0.0,0.7550956010818481,direct_ai_missed,direct_ai_missed
ai_006_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.2,0.05,0.05,0.999963402748108,partial_fabrication_detected,partial_fabrication_detected
ai_006_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_006_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.7058823529411765,0.0,0.0588235294117647,0.9999996423721312,ai_replay_detected,ai_replay_missed
human_006_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",0.8333333333333334,0.6666666666666666,0.75,0.9999985694885254,clean_human_false_alarm,clean_human_borderline
human_006_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.5714285714285714,0.5,0.5,1.0,partial_fabrication_detected,partial_fabrication_detected
human_006_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,0.7272727272727273,0.7272727272727273,1.0,0.9999986886978148,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_006_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.7,0.7,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_007_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.6666666666666666,0.4,0.4666666666666667,0.9999922513961792,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious
ai_007_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.7222222222222222,0.5,0.5555555555555556,0.9999964237213136,partial_fabrication_detected,partial_fabrication_detected
ai_007_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_007_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.6666666666666666,0.2,0.2,0.9998421669006348,ai_replay_detected,ai_replay_missed
human_007_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,R2 product+loss and baseline all high-risk,True,"r2_product,r2_loss,baseline",1.0,1.0,1.0,1.0,clean_human_false_alarm,clean_human_false_alarm
human_007_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.9166666666666666,0.6666666666666666,0.75,1.0,partial_fabrication_detected,partial_fabrication_detected
human_007_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_007_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.75,0.8333333333333334,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_008_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2727272727272727,0.0909090909090909,0.0909090909090909,1.0,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious
ai_008_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.3571428571428571,0.0714285714285714,0.0714285714285714,1.0,partial_fabrication_detected,partial_fabrication_missed
ai_008_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_008_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.8235294117647058,0.2352941176470588,0.3529411764705882,0.9999407529830932,ai_replay_detected,ai_replay_missed
human_008_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,R2 product+loss and baseline all high-risk,True,"r2_product,r2_loss,baseline",1.0,0.8,0.8,1.0,clean_human_false_alarm,clean_human_false_alarm
human_008_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,partial_fabrication_detected,partial_fabrication_detected
human_008_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_008_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.8333333333333334,1.0,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_009_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.9926113486289978,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed
ai_009_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.4705882352941176,0.2352941176470588,0.2941176470588235,0.9999767541885376,partial_fabrication_detected,partial_fabrication_detected
ai_009_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_009_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.1764705882352941,0.1764705882352941,0.9999998807907104,ai_replay_detected,ai_replay_missed
human_009_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",1.0,0.4,0.4666666666666667,0.9999998807907104,clean_human_false_alarm,clean_human_accepted
human_009_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.8888888888888888,0.2222222222222222,0.2777777777777778,0.9997487664222716,partial_fabrication_detected,partial_fabrication_missed
human_009_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,0.9333333333333332,0.9333333333333332,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_009_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,0.875,0.125,0.125,0.9999730587005616,human_replay_manipulation_detected,human_replay_missed
ai_010_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2857142857142857,0.0,0.0714285714285714,0.9929881691932678,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed
ai_010_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.375,0.1875,0.25,1.0,partial_fabrication_detected,partial_fabrication_detected
ai_010_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_010_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.8666666666666667,0.0666666666666666,0.1333333333333333,0.9997251629829408,ai_replay_detected,ai_replay_missed
human_010_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,R2 product+loss and baseline all high-risk,True,"r2_product,r2_loss,baseline",0.7,1.0,1.0,0.9999998807907104,clean_human_borderline,clean_human_false_alarm
human_010_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.9999998807907104,partial_fabrication_detected,partial_fabrication_detected
human_010_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_010_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,0.75,0.875,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_011_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.0,0.0,0.0,0.0194193478673696,direct_ai_missed,direct_ai_missed
ai_011_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.9997658133506776,partial_fabrication_detected,partial_fabrication_detected
ai_011_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_011_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_file_level_missed_but_segment_suspicious,high,ai_processed,ai_replay,baseline segment-suspicious only,False,baseline_segment,0.4375,0.0625,0.0625,0.9874479174613952,ai_replay_file_level_missed_but_segment_suspicious,ai_replay_missed
human_011_clean,clean_direct,human,human_clean,clean_human_borderline,medium,human_bonafide,,R2 accepts clean but baseline segment evidence is extreme,True,"r2_product,baseline_segment",1.0,0.1666666666666666,0.3333333333333333,0.999969720840454,clean_human_false_alarm,clean_human_accepted
human_011_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.8666666666666667,0.2,0.3333333333333333,0.9999885559082032,partial_fabrication_detected,partial_fabrication_detected
human_011_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,0.9166666666666666,0.75,0.8333333333333334,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_011_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,0.7272727272727273,0.0,0.0,0.9729852676391602,human_replay_manipulation_detected,human_replay_missed
ai_012_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.0,0.0,0.0,0.1375324726104736,direct_ai_missed,direct_ai_missed
ai_012_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.1875,0.0625,0.0625,0.9999990463256836,partial_fabrication_detected,partial_fabrication_detected
ai_012_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_012_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.7058823529411765,0.2352941176470588,0.2941176470588235,0.9997137188911438,ai_replay_detected,ai_replay_missed
